"RANK","NAME","Position","Team","BYE","TIER","UP","DOWN","TARGET","WIN"
"1","Josh Allen","QB","BUF","7","1","false","false","false","false"
"2","Drake Maye","QB","NE","11","2","false","false","false","false"
"3","Lamar Jackson","QB","BAL","13","3","false","false","false","false"
"4","Joe Burrow","QB","CIN","6","3","false","false","false","false"
"5","Jayden Daniels","QB","WAS","7","3","false","false","false","false"
"6","Trevor Lawrence","QB","JAX","7","4","true","false","true","true"
"7","Justin Herbert","QB","LAC","7","4","true","false","true","true"
"8","Jalen Hurts","QB","PHI","10","4","false","false","false","false"
"9","Caleb Williams","QB","CHI","10","5","false","false","false","false"
"10","Dak Prescott","QB","DAL","14","5","false","false","false","false"
"11","Brock Purdy","QB","SF","8","5","false","false","true","false"
"12","Kyler Murray","QB","MIN","6","6","true","false","true","true"
"13","Bo Nix","QB","DEN","10","6","false","false","false","false"
"14","Matthew Stafford","QB","LAR","11","6","false","false","false","false"
"15","Patrick Mahomes","QB","KC","5","5","false","false","false","false"
"16","Tyler Shough","QB","NO","8","6","true","false","true","false"
"17","Malik Willis","QB","MIA","6","6","true","false","true","false"
"18","Jordan Love","QB","GB","11","7","false","false","false","false"
"19","Jaxson Dart","QB","NYG","8","7","false","false","false","false"
"20","Baker Mayfield","QB","TB","10","7","false","false","false","false"
"21","Jared Goff","QB","DET","6","7","false","false","false","false"
"22","C.J. Stroud","QB","HOU","8","8","false","false","false","false"
"23","Daniel Jones","QB","IND","13","8","true","false","false","false"
"24","Sam Darnold","QB","SEA","11","8","false","false","false","false"
"25","Bryce Young","QB","CAR","2","9","false","false","false","false"
"26","Cam Ward","QB","TEN","9","9","false","false","false","false"
"27","Aaron Rodgers","QB","PIT","9","9","false","false","false","false"
"28","Jacoby Brissett","QB","ARI","2","9","false","false","false","false"
"29","Geno Smith","QB","NYJ","13","10","false","false","false","false"
"30","Shedeur Sanders","QB","CLE","11","10","false","false","false","false"
"31","Fernando Mendoza","QB","LV","13","10","false","false","false","false"
"32","Michael Penix Jr.","QB","ATL","11","11","false","false","false","false"
"33","Tua Tagovailoa","QB","ATL","11","11","false","false","false","false"
"34","Kirk Cousins","QB","LV","13","11","false","false","false","false"
"35","Deshaun Watson","QB","CLE","11","12","false","false","false","false"
"36","J.J. McCarthy","QB","MIN","6","12","true","false","false","false"
"37","Anthony Richardson Sr.","QB","IND","13","12","true","false","false","false"
"38","Justin Fields","QB","KC","5","12","false","false","false","false"
"39","Marcus Mariota","QB","WAS","7","12","false","false","false","false"
"40","Mac Jones","QB","SF","8","13","false","false","false","false"
"41","Tyson Bagent","QB","CHI","10","13","false","false","false","false"
"42","Davis Mills","QB","HOU","8","13","false","false","false","false"
"43","Trey Lance","QB","LAC","7","14","false","false","false","false"
"44","Tyler Huntley","QB","BAL","13","14","false","false","false","false"
"45","Jarrett Stidham","QB","DEN","10","14","false","false","false","false"
"46","Gardner Minshew II","QB","ARI","2","14","false","false","false","false"
"47","Mason Rudolph","QB","PIT","9","15","false","false","false","false"
"48","Jameis Winston","QB","NYG","8","15","false","false","false","false"
"49","Joe Milton III","QB","DAL","14","15","false","false","false","false"
"50","Tanner McKee","QB","PHI","10","15","false","false","false","false"
